Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|A6NJG2|SWAHD_HUMAN	A6NJG2	SWAHD_HUMAN	SOWAHD	315	Homo sapiens	Ankyrin repeat domain-containing protein SOWAHD	2:Experimental evidence at transcript level	32.38	10.000	0.9990	7	6	6	10	9	9	77867948	77867948	77867948	15K(229.1629), 2C(57.0214), N-term(229.1692), N-term(42.0106)			1.341.448.611	1.240.277.881	1.466.015.310	1.450.100.220	1.792.987.498	1.181.807.473	1.493.371.055	1.311.149.756	1.286.421.997	1.863.351.118	2.054.073.394
sp|A6NKT7|RGPD3_HUMAN	A6NKT7	RGPD3_HUMAN	RGPD3	1758	Homo sapiens	RanBP2-like and GRIP domain-containing protein 3	3:Protein inferred from homology	25.14	10.000	0.9987	43	0	0	83	0	0	324133496	0	324133496				57.558.905.220	48.802.938.208	63.303.602.314	53.237.039.917	67.997.144.883	46.838.655.420	55.196.776.074	57.019.679.526	57.813.013.770	76.826.600.977	86.011.860.244
sp|A7E2V4|ZSWM8_HUMAN	A7E2V4	ZSWM8_HUMAN	ZSWIM8	1837	Homo sapiens	Zinc finger SWIM domain-containing protein 8	1:Experimental evidence at protein level	3.16	10.000	0.9990	4	4	4	6	6	6	40249184	40249184	40249184	13K(229.1629), 16K(229.1629), N-term(229.1692)			538.695.361	439.654.963	1.244.468.484	589.791.423	1.285.241.880	402.992.725	597.131.838	960.122.263	1.261.081.555	2.206.544.119	1.021.775.925
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens	Nuclear envelope pore membrane protein POM 121C	1:Experimental evidence at protein level	16.52	10.000	0.9990	13	2	13	21	2	21	171458432	26436530	171458432	11K(229.1629), 13K(229.1629), 20K(229.1629), 23C(57.0214), 25K(229.1629), 26K(229.1629), N-term(229.1692)			8.503.034.917	6.162.312.913	8.296.526.797	7.542.468.052	9.581.557.358	6.402.557.488	6.702.217.344	6.893.427.844	6.898.522.178	10.136.059.995	10.894.952.622
sp|A8MPP1|D11L8_HUMAN	A8MPP1	D11L8_HUMAN	DDX11L8	907	Homo sapiens	Putative ATP-dependent RNA helicase DDX11-like protein 8	1:Experimental evidence at protein level	7.50	10.000	0.9990	6	0	6	6	0	6	13096576	0	13096576	13K(229.1629), 15K(229.1629), 1C(57.0214), 5C(57.0214), 7C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			2.339.497.129	1.157.529.385	1.373.971.777	1.139.767.280	1.872.177.227	1.931.129.355	1.312.377.178	1.426.488.906	991.128.147	1.864.361.646	1.774.362.949
sp|A8MPS7|YDJC_HUMAN	A8MPS7	YDJC_HUMAN	YDJC	323	Homo sapiens	Carbohydrate deacetylase	1:Experimental evidence at protein level	15.17	10.000	0.9990	4	4	4	7	7	7	26787489	26787489	26787489	11C(57.0214), 15K(229.1629), 4C(57.0214), 5C(57.0214), N-term(229.1692)			1.918.711.804	1.679.998.247	2.650.616.978	1.972.162.886	2.596.972.842	1.678.585.850	2.296.538.169	2.301.665.288	1.950.791.025	3.113.159.165	3.304.027.661
sp|A8MT69|CENPX_HUMAN	A8MT69	CENPX_HUMAN	CENPX	81	Homo sapiens	Centromere protein X	1:Experimental evidence at protein level	58.02	10.000	0.9990	4	4	4	5	5	5	23893977	23893977	23893977	12K(229.1629), 17K(229.1629), N-term(229.1692), N-term(42.0106)			2.704.872.422	1.735.962.676	1.947.515.742	1.789.966.875	2.254.744.570	2.099.325.156	1.832.224.785	1.781.505.020	2.033.952.285	2.425.419.668	3.054.010.312
sp|A8MTT3|CEBOS_HUMAN	A8MTT3	CEBOS_HUMAN	CEBPZOS	80	Homo sapiens	Protein CEBPZOS	1:Experimental evidence at protein level	27.50	10.000	0.9990	3	3	3	4	4	4	61870938	61870938	61870938	7K(229.1629), N-term(229.1692)			5.421.912.656	5.309.625.547	7.799.412.031	5.091.360.977	6.338.077.930	5.020.152.383	6.490.916.562	6.788.890.391	6.358.775.273	5.617.649.531	7.969.057.891
sp|A8MW92|P20L1_HUMAN	A8MW92	P20L1_HUMAN	PHF20L1	1017	Homo sapiens	PHD finger protein 20-like protein 1	1:Experimental evidence at protein level	6.78	10.000	0.9990	7	7	7	9	9	9	41783575	41783575	41783575	11K(229.1629), 7K(229.1629), 8C(57.0214), 9K(229.1629), N-term(229.1692)			5.532.468.799	4.669.600.889	6.742.243.848	4.777.931.758	6.147.561.826	5.152.796.299	5.891.157.188	5.870.786.816	6.210.401.416	6.269.156.201	8.223.143.730
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	Putative small nuclear ribonucleoprotein G-like protein 15	5:Protein uncertain	27.63	10.000	0.9990	4	0	4	19	0	19	690292424	0	690292424	6M(15.9949), 7K(229.1629), 8K(229.1629), N-term(229.1692)		sp|P62308|RUXG_HUMAN	17.499.184.883	12.278.974.443	16.953.682.656	13.261.112.979	19.078.636.230	13.857.950.771	15.228.364.365	14.398.150.449	13.594.567.441	17.857.964.736	23.407.218.535
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	Acyl-coenzyme A diphosphatase NUDT19	1:Experimental evidence at protein level	33.33	10.000	0.9990	9	9	9	20	20	20	124912212	124912212	124912212	12K(229.1629), 13K(229.1629), N-term(229.1692), N-term(42.0106)			1.719.098.438	1.788.368.866	2.341.835.087	1.900.383.394	2.047.238.130	1.482.626.472	2.220.703.508	2.100.931.251	2.488.375.530	2.527.698.232	3.249.171.140
sp|A9UHW6|MI4GD_HUMAN	A9UHW6	MI4GD_HUMAN	MIF4GD	222	Homo sapiens	MIF4G domain-containing protein	1:Experimental evidence at protein level	32.43	10.000	0.9990	7	7	7	9	9	9	101172424	101172424	101172424	13C(57.0214), 17K(229.1629), 6C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			4.171.863.857	3.447.118.721	4.438.725.273	3.976.651.484	4.525.440.850	3.420.127.363	4.709.125.762	4.100.221.152	4.055.045.801	5.246.444.414	7.113.648.828
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	Unconventional myosin-Ig	1:Experimental evidence at protein level	54.91	10.000	0.9990	50	49	50	163	160	163	1669217984	1669217984	1669217984	10C(57.0214), 10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 18C(57.0214), 18K(229.1629), 1C(57.0214), 20C(57.0214), 22K(229.1629), 23C(57.0214), 2M(15.9949), 3C(57.0214), 3K(229.1629), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5C(57.0214), 5M(15.9949), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			53.140.791.441	65.042.383.506	87.772.292.711	70.925.580.747	71.805.023.043	48.847.830.160	79.078.584.036	78.702.861.131	80.934.056.063	102.309.470.901	110.318.802.328
sp|B1AJZ9|FHAD1_HUMAN	B1AJZ9	FHAD1_HUMAN	FHAD1	1412	Homo sapiens	Forkhead-associated domain-containing protein 1	2:Experimental evidence at transcript level	1.70	10.000	0.9979	2	2	2	2	2	2	11745147	11745147	11745147	15K(229.1629), 3K(229.1629), 6M(15.9949), 9K(229.1629), N-term(229.1692)			97.568.076	340.218.984	770.751.094	324.261.270	144.691.992	568.978.867	519.843.398	877.753.203	1.438.392.344	206.519.961	568.970.273
sp|B2RTY4|MYO9A_HUMAN	B2RTY4	MYO9A_HUMAN	MYO9A	2548	Homo sapiens	Unconventional myosin-IXa	1:Experimental evidence at protein level	0.71	10.000	0.9990	2	1	1	2	1	1	9219062	3238657	9219062	5K(229.1629), N-term(229.1692)			274.961.113	247.637.896	397.201.309	348.662.744	383.122.959	288.168.027	371.941.748	388.850.117	365.856.650	363.034.600	514.521.123
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens	Golgi pH regulator A	1:Experimental evidence at protein level	3.30	10.000	0.9990	1	0	1	1	0	1	13186629	0	13186629	15K(229.1629), 6K(229.1629), N-term(229.1692)		sp|P0CG08|GPHRB_HUMAN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|B7ZW38|HNRC3_HUMAN	B7ZW38	HNRC3_HUMAN	HNRNPCL3	293	Homo sapiens	Heterogeneous nuclear ribonucleoprotein C-like 3	2:Experimental evidence at transcript level	24.57	10.000	0.9990	8	0	2	137	0	16	14288974592	0	14288974592	16K(229.1629), N-term(229.1692)		sp|O60812|HNRC1_HUMAN, sp|P0DMR1|HNRC4_HUMAN	50.186.755.963	48.562.964.893	63.058.208.962	53.281.300.085	57.744.600.162	43.882.867.230	58.168.085.428	60.443.066.682	66.175.874.066	60.418.797.576	82.593.838.402
sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3_HUMAN	WASH3P	463	Homo sapiens	Putative WAS protein family homolog 3	1:Experimental evidence at protein level	24.19	10.000	0.9990	9	0	9	13	0	13	245012088	0	245012088	16K(229.1629), 9K(229.1629), N-term(229.1692)		sp|Q6VEQ5|WASH2_HUMAN	6.425.649.316	5.235.231.409	6.804.311.663	6.094.427.505	7.829.382.192	5.772.884.956	6.672.979.858	6.499.392.554	6.741.346.729	8.420.707.158	9.425.819.683
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens	Mapk-regulated corepressor-interacting protein 1	1:Experimental evidence at protein level	39.18	10.000	0.9990	3	3	3	8	8	8	62217643	62217643	62217643	9K(229.1629), N-term(229.1692)			3.621.591.206	2.917.049.224	2.403.637.129	2.508.618.291	3.137.643.931	3.044.380.117	2.587.226.738	2.418.081.025	2.586.440.962	2.885.415.205	3.106.902.402
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1:Experimental evidence at protein level	3.71	10.000	0.9990	7	0	7	44	0	44	3198443008	0	3198443008	11M(15.9949), 13K(229.1629), 14K(229.1629), 15K(229.1629), 15M(15.9949), 6M(15.9949), 8K(229.1629), N-term(229.1692)			13.043.079.655	11.005.020.020	14.603.257.856	12.592.785.052	15.104.816.210	11.385.941.748	13.511.416.407	11.978.991.113	11.863.793.230	17.448.444.526	17.638.256.796
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	Uncharacterized protein C11orf98	4:Protein predicted	36.59	10.000	0.9990	5	5	5	14	14	14	108269890	108269890	108269890	10K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			8.422.109.668	6.671.973.574	7.680.972.734	7.161.926.572	8.286.248.301	7.317.920.645	7.567.631.055	7.547.064.395	7.722.107.051	10.267.094.102	13.057.594.258
sp|G9CGD6|CNIPF_HUMAN	G9CGD6	CNIPF_HUMAN	CNK3/IPCEF1	899	Homo sapiens	CNK3/IPCEF1 fusion protein	1:Experimental evidence at protein level	4.78	10.000	0.9990	3	0	3	4	0	4	9886179	0	9886179	14K(229.1629), N-term(229.1692)		sp|Q8WWN9|ICEF1_HUMAN	249.826.133	430.218.037	438.320.168	530.917.727	445.976.672	239.370.526	419.341.677	428.585.947	280.809.575	602.391.562	554.217.751
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens	SLC35A4 upstream open reading frame protein	3:Protein inferred from homology	18.45	10.000	0.9990	3	3	3	4	4	4	71080302	71080302	71080302	11K(229.1629), N-term(229.1692)			409.419.004	273.390.952	413.565.029	245.470.449	410.152.041	239.028.457	333.196.016	345.022.856	300.095.918	466.003.926	493.479.209
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens	ASNSD1 upstream open reading frame protein	1:Experimental evidence at protein level	18.75	10.000	0.9990	3	1	3	6	2	6	180795464	57826986	180795464	10K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			3.372.607.910	2.954.255.195	3.530.735.703	2.737.746.846	3.899.013.652	2.986.199.180	3.650.672.246	3.679.367.383	3.026.333.926	3.634.190.361	5.105.937.637
sp|L0R8F8|MIDUO_HUMAN	L0R8F8	MIDUO_HUMAN	MIEF1	70	Homo sapiens	Mitochondrial ribosome and complex I assembly factor AltMIEF1	1:Experimental evidence at protein level	51.43	10.000	0.9990	4	4	4	4	4	4	78340653	78340653	78340653	8K(229.1629), N-term(229.1692)			4.877.902.324	2.077.596.514	2.665.213.008	2.452.245.288	3.495.882.432	2.313.922.266	2.393.497.363	2.120.202.393	2.759.335.195	3.101.273.770	4.988.084.717
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens	Deoxyribonuclease-2-alpha	1:Experimental evidence at protein level	18.61	10.000	0.9990	8	8	8	11	11	11	311191688	311191688	311191688	13C(57.0214), 21K(229.1629), 6M(15.9949), 7K(229.1629), N-term(229.1692)			5.372.794.077	4.406.984.626	5.957.513.633	6.752.860.610	7.314.298.408	3.719.164.709	5.573.168.274	5.064.027.224	4.919.268.582	8.278.260.977	4.547.608.853
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1:Experimental evidence at protein level	55.78	10.000	0.9990	22	22	22	93	93	93	528135984	528135984	528135984	10M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16C(57.0214), 18K(229.1629), 19M(15.9949), 1C(57.0214), 1K(229.1629), 20C(57.0214), 20K(229.1629), 22K(229.1629), 24K(229.1629), 27K(229.1629), 3M(15.9949), 4C(57.0214), 5C(57.0214), 9K(229.1629), N-term(229.1692)			33.522.830.058	31.791.911.345	37.723.331.998	35.062.474.398	38.524.404.968	27.097.399.423	36.703.759.677	36.653.042.029	39.129.859.412	44.661.891.069	53.938.893.607
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	Kinesin-like protein KIF2A	1:Experimental evidence at protein level	30.45	10.000	0.9990	23	19	19	48	40	40	492288096	433193496	492288096	11K(229.1629), 14C(57.0214), 1C(57.0214), 20C(57.0214), 22C(57.0214), 2C(57.0214), 3M(15.9949), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1692), N-term(42.0106)			22.054.271.646	12.408.351.421	21.139.312.587	14.268.659.897	22.884.885.884	18.692.988.777	16.766.180.096	19.226.272.603	14.553.680.730	20.529.510.690	26.796.713.535
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	Thymidine kinase 2, mitochondrial	1:Experimental evidence at protein level	12.83	10.000	0.9990	3	3	3	4	4	4	19422915	19422915	19422915	13K(229.1629), 4C(57.0214), N-term(229.1692)			819.175.771	951.703.574	1.122.411.562	1.016.802.461	906.501.416	644.845.117	1.058.147.988	987.499.541	1.204.892.383	1.441.051.621	1.403.352.559
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	ATP-dependent RNA helicase DDX39A	1:Experimental evidence at protein level	55.74	10.000	0.9990	25	11	11	97	46	46	2640360704	1606917648	2640360704	11K(229.1629), 12K(229.1629), 15K(229.1629), 1C(57.0214), 2C(57.0214), 2M(15.9949), 30K(229.1629), 31K(229.1629), 3M(15.9949), 6C(57.0214), 6M(15.9949), 8K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			43.768.188.950	33.981.818.831	51.410.554.808	36.014.794.377	47.876.638.391	37.338.088.853	44.964.628.630	45.502.247.751	40.976.439.437	52.346.397.749	68.310.636.064
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens	PDZ and LIM domain protein 1	1:Experimental evidence at protein level	65.65	10.000	0.9990	14	14	14	101	101	101	3158195392	3158195392	3158195392	10K(229.1629), 11C(57.0214), 11K(229.1629), 13K(229.1629), 15K(229.1629), 17K(229.1629), 23M(15.9949), 26K(229.1629), 28K(229.1629), 3M(15.9949), 5K(229.1629), 7C(57.0214), 8K(229.1629), N-term(229.1692)			56.187.667.738	33.119.635.551	44.467.942.751	35.967.718.442	59.709.402.336	48.557.425.750	39.364.005.591	45.380.536.224	27.442.755.151	58.331.692.085	79.635.292.119
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase	1:Experimental evidence at protein level	33.95	10.000	0.9990	10	9	10	29	26	29	353411248	296392708	353411248	11K(229.1629), 15K(229.1629), 16K(229.1629), 19K(229.1629), 20K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			18.334.914.907	13.754.127.432	25.550.482.880	17.782.563.157	19.759.262.351	17.171.845.337	19.704.068.955	18.895.096.793	18.878.704.644	19.932.009.319	32.449.130.347
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	Unconventional myosin-Ic	1:Experimental evidence at protein level	37.16	10.000	0.9990	35	31	33	58	53	55	911650748	891799140	911650748	10C(57.0214), 10K(229.1629), 11K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 1K(229.1629), 22K(229.1629), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5K(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			33.548.543.567	39.126.263.149	50.408.003.987	70.448.643.245	55.816.711.384	34.636.732.363	47.302.780.698	50.356.840.095	47.963.524.990	65.571.516.904	95.750.934.546
sp|O00160|MYO1F_HUMAN	O00160	MYO1F_HUMAN	MYO1F	1098	Homo sapiens	Unconventional myosin-If	1:Experimental evidence at protein level	50.91	10.000	0.9990	55	49	55	163	145	163	899182448	899182448	899182448	10C(57.0214), 10K(229.1629), 11M(15.9949), 12K(229.1629), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 22K(229.1629), 24K(229.1629), 24M(15.9949), 31K(229.1629), 3C(57.0214), 3M(15.9949), 4C(57.0214), 4M(15.9949), 6C(57.0214), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			105.132.478.529	95.257.889.393	143.258.850.177	108.343.493.989	132.867.650.701	87.942.962.224	117.651.073.545	126.591.589.464	126.749.761.265	141.753.134.683	172.278.592.417
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens	Synaptosomal-associated protein 23	1:Experimental evidence at protein level	79.15	10.000	0.9990	14	14	14	41	41	41	330382856	330382856	330382856	12C(57.0214), 14K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 24K(229.1629), 25K(229.1629), 26K(229.1629), 2C(57.0214), 2M(15.9949), 5C(57.0214), 7C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			29.695.492.266	19.375.225.068	29.515.153.945	21.444.236.279	28.370.186.655	19.174.774.375	22.471.977.490	26.508.445.981	19.616.792.622	32.518.882.480	36.176.116.309
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens	HCLS1-associated protein X-1	1:Experimental evidence at protein level	12.54	10.000	0.9990	4	4	4	8	8	8	53652771	53652771	53652771	N-term(229.1692), N-term(42.0106)			1.681.157.637	1.385.634.990	3.029.250.371	1.576.184.658	1.897.262.051	1.809.655.098	2.227.730.459	2.169.480.088	1.815.436.523	2.493.552.695	3.628.004.316
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens	AH receptor-interacting protein	1:Experimental evidence at protein level	44.55	10.000	0.9990	16	16	16	44	44	44	428426336	428426336	428426336	10K(229.1629), 11K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 4M(15.9949), 6K(229.1629), 8K(229.1629), 8M(15.9949), N-term(229.1692)			30.146.332.786	22.913.614.827	31.136.626.912	25.132.218.459	37.504.403.501	24.501.226.128	27.885.692.878	27.229.884.165	26.091.046.499	37.861.677.412	46.526.094.077
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens	GTP-binding protein 1	1:Experimental evidence at protein level	29.45	10.000	0.9990	17	16	17	33	31	33	153104428	153104428	153104428	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 20K(229.1629), 32K(229.1629), 4C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			14.791.661.841	13.091.588.223	18.809.003.379	14.767.624.912	18.773.166.309	13.426.400.000	15.882.766.167	15.945.589.321	15.295.090.210	19.428.281.855	24.383.863.994
sp|O00182|LEG9_HUMAN	O00182	LEG9_HUMAN	LGALS9	355	Homo sapiens	Galectin-9	1:Experimental evidence at protein level	15.49	10.000	0.9990	5	2	5	20	9	20	563078824	188291683	563078824	3M(15.9949), 7K(229.1629), 9C(57.0214), N-term(229.1692)			10.405.629.365	8.288.242.515	16.701.345.908	9.562.094.414	11.807.155.283	9.364.050.967	11.134.513.086	12.956.882.183	10.359.811.660	14.496.890.654	19.162.308.721
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens	Syntaxin-binding protein 3	1:Experimental evidence at protein level	33.45	10.000	0.9990	22	22	22	50	50	50	431445456	431445456	431445456	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 1C(57.0214), 1K(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			29.814.667.422	33.657.401.064	44.284.568.955	38.848.325.000	39.762.870.898	26.495.564.478	39.448.587.852	37.776.606.055	41.080.736.455	47.366.875.010	53.909.896.270
sp|O00189|AP4M1_HUMAN	O00189	AP4M1_HUMAN	AP4M1	453	Homo sapiens	AP-4 complex subunit mu-1	1:Experimental evidence at protein level	5.30	10.000	0.9990	2	2	2	3	3	3	12049118	12049118	12049118	15K(229.1629), 3C(57.0214), N-term(229.1692)			1.952.676.133	1.294.095.000	1.358.224.688	1.381.337.480	1.580.563.809	1.573.652.607	1.422.488.301	1.614.396.719	1.386.671.953	1.645.639.395	2.123.346.855
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens	Small acidic protein	1:Experimental evidence at protein level	33.88	10.000	0.9990	6	6	6	33	33	33	491820512	491820512	491820512	12K(229.1629), 13M(15.9949), 14M(15.9949), 16K(229.1629), 17K(229.1629), 1K(229.1629), 24K(229.1629), 25K(229.1629), 8K(229.1629), N-term(229.1692)			19.538.192.539	18.404.011.343	26.308.746.401	19.016.103.337	24.925.895.312	18.654.013.159	21.608.008.892	21.988.051.548	18.879.401.100	24.095.494.458	35.162.801.724
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	AP-3 complex subunit beta-1	1:Experimental evidence at protein level	35.74	10.000	0.9990	38	33	38	77	64	77	287979272	287979272	287979272	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 16C(57.0214), 16K(229.1629), 1K(229.1629), 25K(229.1629), 2K(229.1629), 2M(15.9949), 3C(57.0214), 3K(229.1629), 41K(229.1629), 6K(229.1629), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			51.469.462.496	43.547.993.422	56.065.798.174	47.039.519.490	54.384.911.418	43.888.081.172	52.656.537.932	53.372.774.358	51.540.259.036	57.372.680.616	81.043.049.019
sp|O00213|APBB1_HUMAN	O00213	APBB1_HUMAN	APBB1	710	Homo sapiens	Amyloid beta precursor protein binding family B member 1	1:Experimental evidence at protein level	1.97	10.000	0.9990	1	1	1	1	1	1	2901172	2901172	2901172	14K(229.1629), N-term(229.1692)			42.617.710	17.212.577	106.827.783	51.704.062	49.184.355	37.138.604	45.697.432	61.190.464	76.340.127	57.966.206	107.710.674
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens	Galectin-8	1:Experimental evidence at protein level	23.66	10.000	0.9990	7	7	7	19	19	19	150206778	150206778	150206778	10K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 4C(57.0214), 7C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			13.565.588.066	12.648.982.046	14.736.780.356	13.822.960.117	17.836.953.882	7.389.245.493	13.869.721.348	13.870.923.398	13.738.263.491	20.787.109.297	21.276.832.109
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1:Experimental evidence at protein level	48.57	10.000	0.9990	12	12	12	27	27	27	461303568	461303568	461303568	10K(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 22K(229.1629), 2C(57.0214), 4M(15.9949), 6C(57.0214), 7K(229.1629), 8M(15.9949), 9M(15.9949), N-term(229.1692)			14.626.929.688	15.000.888.306	18.783.004.434	16.520.393.604	16.887.813.408	10.469.957.480	17.716.114.863	15.301.126.653	19.244.664.492	18.161.673.867	20.983.854.614
sp|O00221|IKBE_HUMAN	O00221	IKBE_HUMAN	NFKBIE	500	Homo sapiens	NF-kappa-B inhibitor epsilon	1:Experimental evidence at protein level	20.60	10.000	0.9990	8	8	8	16	16	16	54853217	54853217	54853217	10C(57.0214), 11K(229.1629), 1C(57.0214), 24K(229.1629), 5C(57.0214), N-term(229.1692)			3.032.141.118	2.981.990.938	5.216.684.385	3.428.130.063	4.143.913.418	3.978.222.607	4.075.385.273	5.249.833.525	5.443.598.877	5.480.260.244	5.945.499.873
