Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens	Nuclear envelope pore membrane protein POM 121C	1:Experimental evidence at protein level	17.74	10.000	0.9990	14	1	14	23	1	23	140454766	9818876	140454766	12K(229.1629), 13K(229.1629), 17K(229.1629), 20K(229.1629), 23C(57.0214), 24K(229.1629), 25K(229.1629), 26K(229.1629), 8K(229.1629), N-term(229.1692)			10.208.962.268	12.135.987.759	7.337.227.382	13.461.633.303	11.734.729.714	12.774.671.882	15.818.943.411	9.824.985.972	13.667.379.922	10.540.534.851	17.063.878.140
sp|A8MPP1|D11L8_HUMAN	A8MPP1	D11L8_HUMAN	DDX11L8	907	Homo sapiens	Putative ATP-dependent RNA helicase DDX11-like protein 8	1:Experimental evidence at protein level	12.24	10.000	0.9990	9	0	9	11	0	11	27912800	0	27912800	12K(229.1629), 13K(229.1629), 1C(57.0214), 24K(229.1629), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			2.308.381.987	1.811.261.885	1.591.233.149	2.180.875.620	2.283.542.048	2.082.443.018	3.038.026.589	1.652.920.146	2.296.474.780	1.557.837.864	2.863.769.556
sp|A8MPS7|YDJC_HUMAN	A8MPS7	YDJC_HUMAN	YDJC	323	Homo sapiens	Carbohydrate deacetylase	1:Experimental evidence at protein level	15.17	10.000	0.9990	4	4	4	6	6	6	39255845	39255845	39255845	11C(57.0214), 15K(229.1629), 4C(57.0214), 5C(57.0214), N-term(229.1692)			1.652.929.106	1.610.640.435	1.091.266.440	2.153.992.007	1.405.197.190	2.200.192.988	1.760.407.261	1.560.114.763	2.171.022.300	1.881.799.072	2.494.146.240
sp|A8MT69|CENPX_HUMAN	A8MT69	CENPX_HUMAN	CENPX	81	Homo sapiens	Centromere protein X	1:Experimental evidence at protein level	58.02	10.000	0.9990	4	4	4	4	4	4	30008444	30008444	30008444	12K(229.1629), 17K(229.1629), N-term(229.1692), N-term(42.0106)			1.024.803.589	1.196.934.941	578.114.346	1.336.989.303	866.359.733	1.208.056.037	1.401.501.216	749.545.676	1.308.559.871	614.249.805	1.707.989.977
sp|A8MTT3|CEBOS_HUMAN	A8MTT3	CEBOS_HUMAN	CEBPZOS	80	Homo sapiens	Protein CEBPZOS	1:Experimental evidence at protein level	27.50	10.000	0.9990	3	3	3	4	4	4	123980588	123980588	123980588	7K(229.1629), N-term(229.1692)			2.131.953.613	1.814.157.578	1.180.180.264	1.926.425.488	1.621.439.590	1.939.826.836	2.469.869.844	1.520.607.402	2.161.972.598	1.347.906.582	3.097.065.938
sp|A8MW92|P20L1_HUMAN	A8MW92	P20L1_HUMAN	PHF20L1	1017	Homo sapiens	PHD finger protein 20-like protein 1	1:Experimental evidence at protein level	5.01	10.000	0.9990	6	6	6	8	8	8	65822749	65822749	65822749	10K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			3.960.638.545	5.026.675.625	6.028.599.639	5.852.896.113	6.080.487.344	5.597.663.857	6.588.586.387	6.386.466.709	4.599.504.414	6.313.677.305	7.877.899.668
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	Putative small nuclear ribonucleoprotein G-like protein 15	5:Protein uncertain	27.63	10.000	0.9990	4	0	4	18	0	18	452760574	0	452760574	6M(15.9949), 7K(229.1629), 8K(229.1629), N-term(229.1692)		sp|P62308|RUXG_HUMAN	14.327.145.508	17.223.206.470	15.912.814.554	19.445.738.237	18.996.618.716	18.738.043.999	21.873.813.008	16.759.159.106	19.144.619.092	18.219.636.287	26.979.946.289
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	Acyl-coenzyme A diphosphatase NUDT19	1:Experimental evidence at protein level	30.13	10.000	0.9990	8	8	8	15	15	15	128598000	128598000	128598000	13K(229.1629), N-term(229.1692), N-term(42.0106)			2.917.434.316	4.298.533.422	2.269.065.425	5.195.201.404	4.288.025.884	4.357.814.099	5.534.537.605	4.182.332.456	4.356.282.961	4.531.211.844	5.917.166.089
sp|A9UHW6|MI4GD_HUMAN	A9UHW6	MI4GD_HUMAN	MIF4GD	222	Homo sapiens	MIF4G domain-containing protein	1:Experimental evidence at protein level	25.23	10.000	0.9990	5	5	5	9	9	9	133677756	133677756	133677756	13C(57.0214), 17K(229.1629), 6C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			5.943.615.244	7.161.448.506	5.495.447.378	6.614.641.045	6.901.895.640	6.946.770.312	8.390.619.805	5.371.004.609	6.991.386.289	4.468.650.981	9.935.222.900
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	Unconventional myosin-Ig	1:Experimental evidence at protein level	53.54	10.000	0.9990	47	46	47	141	140	141	1902926592	1902926592	1902926592	10C(57.0214), 10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 18C(57.0214), 18K(229.1629), 1C(57.0214), 20C(57.0214), 22K(229.1629), 23C(57.0214), 2M(15.9949), 3C(57.0214), 3K(229.1629), 3M(15.9949), 4C(57.0214), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			64.752.529.932	96.737.571.318	57.633.039.207	93.372.139.720	79.969.251.826	104.374.672.305	88.380.790.930	81.873.964.388	112.506.537.861	77.200.315.203	128.694.318.787
sp|B1AJZ9|FHAD1_HUMAN	B1AJZ9	FHAD1_HUMAN	FHAD1	1412	Homo sapiens	Forkhead-associated domain-containing protein 1	2:Experimental evidence at transcript level	1.91	10.000	0.9979	3	3	3	3	3	3	25983822	25983822	25983822	10K(229.1629), 6M(15.9949), 9K(229.1629), N-term(229.1692)			337.866.621	537.000.688	280.088.535	609.973.257	359.620.122	570.931.187	501.123.682	321.665.793	649.391.338	331.326.580	441.776.602
sp|B2RTY4|MYO9A_HUMAN	B2RTY4	MYO9A_HUMAN	MYO9A	2548	Homo sapiens	Unconventional myosin-IXa	1:Experimental evidence at protein level	1.02	10.000	0.9990	1	1	1	1	1	1	2895364	2895364	2895364	1K(229.1629), 26K(229.1629), N-term(229.1692)			0.0000	31.992.449	0.0000	62.641.367	43.571.074	50.787.949	64.929.160	0.0000	0.0000	0.0000	88.277.139
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens	Golgi pH regulator A	1:Experimental evidence at protein level	2.64	10.000	0.9990	1	0	1	1	0	1	1704028	0	1704028	12K(229.1629), N-term(229.1692)		sp|P0CG08|GPHRB_HUMAN	55.293.794	93.040.664	26.755.669	129.659.863	48.202.925	87.168.682	78.206.152	42.304.849	101.881.309	46.513.086	101.846.484
sp|B7ZW38|HNRC3_HUMAN	B7ZW38	HNRC3_HUMAN	HNRNPCL3	293	Homo sapiens	Heterogeneous nuclear ribonucleoprotein C-like 3	2:Experimental evidence at transcript level	28.33	10.000	0.9990	11	0	2	140	0	20	17658246912	0	17658246912	16K(229.1629), 28K(229.1629), 7K(229.1629), N-term(229.1692)		sp|O60812|HNRC1_HUMAN, sp|P0DMR1|HNRC4_HUMAN	46.383.588.081	60.330.789.562	59.306.257.625	72.849.411.536	69.946.305.485	67.520.355.696	75.973.607.540	66.913.702.322	68.355.036.491	59.998.636.047	95.664.937.664
sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3_HUMAN	WASH3P	463	Homo sapiens	Putative WAS protein family homolog 3	1:Experimental evidence at protein level	24.41	10.000	0.9990	10	0	10	14	0	14	184335520	0	184335520	16K(229.1629), 17K(229.1629), 9K(229.1629), N-term(229.1692)		sp|Q6VEQ5|WASH2_HUMAN	6.267.100.192	8.390.653.569	4.167.645.338	9.230.216.572	6.085.585.801	8.982.804.434	9.882.668.633	6.255.439.631	10.037.674.622	4.827.035.461	9.675.320.996
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens	Mapk-regulated corepressor-interacting protein 1	1:Experimental evidence at protein level	37.11	10.000	0.9990	3	3	3	7	7	7	45912902	45912902	45912902	N-term(229.1692), N-term(42.0106)			1.235.131.328	1.416.774.492	1.153.044.229	1.554.518.438	1.461.740.605	1.615.507.441	1.676.522.812	1.273.980.508	1.363.432.852	1.294.177.974	1.797.072.842
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1:Experimental evidence at protein level	7.75	10.000	0.9990	8	1	8	44	1	44	2549929344	0	2549929344	11M(15.9949), 13K(229.1629), 14K(229.1629), 15K(229.1629), 15M(15.9949), 6M(15.9949), 8K(229.1629), N-term(229.1692)			11.466.586.401	13.087.996.082	10.146.651.287	14.485.604.342	12.866.375.327	14.291.342.264	18.645.742.772	11.017.494.167	13.675.398.895	11.055.520.050	17.636.109.913
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	Uncharacterized protein C11orf98	4:Protein predicted	34.96	10.000	0.9990	4	4	4	11	11	11	185341664	185341664	185341664	10K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			8.214.318.516	7.294.025.762	7.041.474.863	8.055.236.172	7.962.768.438	7.765.051.660	10.601.218.418	6.768.127.471	7.875.841.035	6.197.862.861	12.059.665.840
sp|G9CGD6|CNIPF_HUMAN	G9CGD6	CNIPF_HUMAN	CNK3/IPCEF1	899	Homo sapiens	CNK3/IPCEF1 fusion protein	1:Experimental evidence at protein level	5.90	10.000	0.9990	4	0	4	6	0	6	35368954	0	35368954	14K(229.1629), 18K(229.1629), 7K(229.1629), N-term(229.1692)		sp|Q8WWN9|ICEF1_HUMAN	635.542.056	2.112.620.938	583.494.727	2.247.669.775	1.014.817.173	1.931.127.441	956.102.964	1.057.652.510	2.246.192.695	705.187.354	1.429.274.707
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens	SLC35A4 upstream open reading frame protein	3:Protein inferred from homology	18.45	10.000	0.9990	3	3	3	5	5	5	58214974	58214974	58214974	11K(229.1629), N-term(229.1692)			381.398.867	359.867.583	346.804.700	347.689.365	360.647.976	399.996.997	423.633.640	315.416.077	372.436.328	397.715.547	611.044.580
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens	ASNSD1 upstream open reading frame protein	1:Experimental evidence at protein level	18.75	10.000	0.9990	3	1	3	8	2	8	156184038	53643284	156184038	10K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			4.757.484.258	4.340.144.258	3.628.367.676	5.552.786.094	4.486.516.387	5.036.848.809	5.916.098.477	3.344.880.801	5.855.827.578	2.892.566.621	7.389.723.789
sp|L0R8F8|MIDUO_HUMAN	L0R8F8	MIDUO_HUMAN	MIEF1	70	Homo sapiens	Mitochondrial ribosome and complex I assembly factor AltMIEF1	1:Experimental evidence at protein level	40.00	10.000	0.9990	3	3	3	4	4	4	124703890	124703890	124703890	N-term(229.1692)			4.637.109.297	4.640.332.246	1.750.465.293	5.683.361.602	3.976.217.285	5.269.431.914	5.662.838.340	3.020.396.172	5.160.291.699	2.643.080.723	6.721.632.422
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens	Deoxyribonuclease-2-alpha	1:Experimental evidence at protein level	20.83	10.000	0.9990	9	9	9	13	13	13	315896672	315896672	315896672	13C(57.0214), 21K(229.1629), 6M(15.9949), 7K(229.1629), N-term(229.1692)			4.708.426.953	7.367.679.980	3.132.963.364	7.671.618.232	6.137.011.221	7.450.617.461	5.418.956.328	7.056.747.383	8.190.554.609	5.412.364.424	6.361.684.321
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1:Experimental evidence at protein level	50.00	10.000	0.9990	21	21	21	81	81	81	787016720	787016720	787016720	10C(57.0214), 10M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16C(57.0214), 16K(229.1629), 19M(15.9949), 1C(57.0214), 1K(229.1629), 20C(57.0214), 22K(229.1629), 24K(229.1629), 27K(229.1629), 3M(15.9949), 4C(57.0214), 5C(57.0214), 9K(229.1629), N-term(229.1692)			27.205.096.191	34.864.930.282	24.406.787.550	35.905.299.191	32.763.476.859	38.158.809.177	37.254.356.633	28.296.553.412	37.369.699.952	31.395.572.521	48.716.304.468
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	Kinesin-like protein KIF2A	1:Experimental evidence at protein level	27.05	10.000	0.9990	21	17	17	49	41	41	231592536	184334808	231592536	11K(229.1629), 14K(229.1629), 1C(57.0214), 4M(15.9949), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1692)			23.293.519.932	25.985.101.458	14.536.906.104	24.885.143.116	24.525.739.565	27.835.902.771	34.831.315.693	20.018.085.732	27.661.529.735	19.840.352.671	33.369.759.131
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	Thymidine kinase 2, mitochondrial	1:Experimental evidence at protein level	15.47	10.000	0.9990	4	4	4	6	6	6	40627890	40627890	40627890	13K(229.1629), 2C(57.0214), 4C(57.0214), 7K(229.1629), N-term(229.1692)			730.322.856	1.300.610.908	836.612.842	1.334.668.770	969.686.094	1.323.191.006	1.152.660.088	1.072.685.645	1.078.996.709	1.284.331.772	1.699.140.410
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	ATP-dependent RNA helicase DDX39A	1:Experimental evidence at protein level	55.74	10.000	0.9990	23	9	9	101	40	40	2474484672	1100848384	2474484672	11K(229.1629), 15K(229.1629), 1C(57.0214), 2C(57.0214), 2M(15.9949), 30K(229.1629), 31K(229.1629), 3M(15.9949), 4M(15.9949), 6C(57.0214), 6M(15.9949), 8K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			35.245.112.589	38.058.373.915	27.272.765.880	42.829.088.595	39.238.909.683	42.660.394.795	51.366.200.743	33.701.891.953	42.760.903.372	30.208.211.099	59.366.777.278
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens	PDZ and LIM domain protein 1	1:Experimental evidence at protein level	69.91	10.000	0.9990	14	14	14	104	104	104	3940385024	3940385024	3940385024	10K(229.1629), 11C(57.0214), 11K(229.1629), 13K(229.1629), 15K(229.1629), 17K(229.1629), 23M(15.9949), 26K(229.1629), 28K(229.1629), 3M(15.9949), 5K(229.1629), 7C(57.0214), 8K(229.1629), N-term(229.1692), N-term(42.0106)			47.623.442.299	53.691.121.107	29.984.619.438	60.664.200.746	39.537.105.178	48.021.757.328	70.111.707.422	32.090.738.816	64.324.069.313	35.480.592.251	92.221.407.961
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase	1:Experimental evidence at protein level	40.00	10.000	0.9990	12	10	12	35	32	35	367021160	270096352	367021160	11K(229.1629), 15K(229.1629), 16K(229.1629), 19K(229.1629), 1C(57.0214), 20K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1692)			19.393.814.972	12.388.411.292	16.771.647.579	13.444.113.286	24.141.696.138	12.153.892.561	30.621.874.001	17.618.784.680	14.753.676.372	14.870.300.979	45.603.829.675
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	Unconventional myosin-Ic	1:Experimental evidence at protein level	35.28	10.000	0.9990	34	31	33	54	50	53	243412824	201375492	243412824	10C(57.0214), 10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 1C(57.0214), 1K(229.1629), 22K(229.1629), 3C(57.0214), 5K(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			25.145.199.077	34.235.217.598	37.536.529.332	29.252.339.407	45.013.825.293	33.048.245.479	32.895.307.129	21.916.633.853	47.849.794.619	16.316.828.799	65.255.774.651
sp|O00160|MYO1F_HUMAN	O00160	MYO1F_HUMAN	MYO1F	1098	Homo sapiens	Unconventional myosin-If	1:Experimental evidence at protein level	45.08	10.000	0.9990	49	44	49	152	140	152	1219045920	1219045920	1219045920	10C(57.0214), 10K(229.1629), 10M(15.9949), 11M(15.9949), 12K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 19M(15.9949), 1C(57.0214), 1K(229.1629), 21K(229.1629), 24K(229.1629), 2M(15.9949), 3M(15.9949), 4C(57.0214), 4M(15.9949), 6C(57.0214), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			80.834.860.199	106.580.466.681	64.675.131.040	125.155.731.748	96.537.762.628	125.446.610.690	127.794.867.791	90.078.311.096	118.265.515.801	82.061.740.043	160.792.023.228
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens	Synaptosomal-associated protein 23	1:Experimental evidence at protein level	67.77	10.000	0.9990	12	12	12	34	34	34	283326840	283326840	283326840	11M(15.9949), 12C(57.0214), 14K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 26K(229.1629), 2C(57.0214), 2M(15.9949), 5C(57.0214), 7C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			21.673.697.141	20.836.930.496	19.084.947.836	22.838.402.578	24.395.564.209	22.481.164.802	26.595.201.018	18.838.085.876	24.279.726.143	19.855.401.582	31.755.542.246
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens	HCLS1-associated protein X-1	1:Experimental evidence at protein level	12.54	10.000	0.9990	4	4	4	9	9	9	35299556	35299556	35299556	N-term(229.1692), N-term(42.0106)			1.153.738.516	1.398.920.420	996.472.502	1.391.688.594	1.482.983.613	1.289.202.549	1.698.524.980	1.255.580.337	1.397.509.277	2.206.591.328	2.225.002.275
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens	AH receptor-interacting protein	1:Experimental evidence at protein level	44.55	10.000	0.9990	16	16	16	44	44	44	663655952	663655952	663655952	10K(229.1629), 11K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 4M(15.9949), 6K(229.1629), 8K(229.1629), 8M(15.9949), N-term(229.1692)			32.532.976.641	38.968.260.273	26.480.369.692	43.080.695.605	33.503.822.969	41.639.223.574	45.035.960.918	31.996.179.517	43.298.531.855	31.131.107.681	56.357.938.301
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens	GTP-binding protein 1	1:Experimental evidence at protein level	39.46	10.000	0.9990	21	20	21	39	36	39	124889404	124889404	124889404	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 20K(229.1629), 21K(229.1629), 32K(229.1629), 4C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			18.800.555.986	21.434.223.835	12.560.348.246	23.256.624.110	18.817.252.419	21.599.550.907	23.502.632.512	16.104.533.088	26.167.104.678	19.200.096.328	31.695.306.436
sp|O00182|LEG9_HUMAN	O00182	LEG9_HUMAN	LGALS9	355	Homo sapiens	Galectin-9	1:Experimental evidence at protein level	16.06	10.000	0.9990	5	1	5	24	10	24	505313824	117720224	505313824	10C(57.0214), 14C(57.0214), 16K(229.1629), 3M(15.9949), 7K(229.1629), 9C(57.0214), N-term(229.1692)			13.792.220.020	17.868.834.316	12.397.916.792	13.525.912.051	17.190.683.286	15.547.218.760	15.491.254.717	17.951.870.576	18.657.737.266	13.195.627.061	24.112.639.629
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens	Syntaxin-binding protein 3	1:Experimental evidence at protein level	39.02	10.000	0.9990	24	24	24	49	49	49	286654000	286654000	286654000	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 1C(57.0214), 1K(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 3M(15.9949), 4C(57.0214), 5C(57.0214), 5K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			29.685.595.952	36.415.524.761	32.266.912.583	36.439.456.855	38.440.236.743	38.084.257.666	38.178.971.221	36.196.406.455	39.538.048.750	31.086.254.341	55.381.056.562
sp|O00189|AP4M1_HUMAN	O00189	AP4M1_HUMAN	AP4M1	453	Homo sapiens	AP-4 complex subunit mu-1	1:Experimental evidence at protein level	9.49	10.000	0.9990	4	4	4	4	4	4	18498326	18498326	18498326	10K(229.1629), 15K(229.1629), N-term(229.1692)			553.649.316	464.794.932	283.300.537	645.318.750	501.267.021	613.204.648	610.274.785	492.895.732	574.400.664	305.917.217	791.815.938
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens	Small acidic protein	1:Experimental evidence at protein level	37.70	10.000	0.9990	9	9	9	35	35	35	503720568	503720568	503720568	12K(229.1629), 13M(15.9949), 14M(15.9949), 16K(229.1629), 17K(229.1629), 1K(229.1629), 24K(229.1629), 25K(229.1629), 6K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1692)			29.925.861.772	26.670.870.176	29.249.180.153	28.246.629.441	33.062.460.371	27.345.503.721	40.118.526.240	20.374.793.232	33.976.343.271	18.260.163.511	54.864.545.156
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	AP-3 complex subunit beta-1	1:Experimental evidence at protein level	34.00	10.000	0.9990	37	32	37	73	61	73	1117369712	1101110536	1117369712	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 1K(229.1629), 2K(229.1629), 30K(229.1629), 3C(57.0214), 3K(229.1629), 4M(15.9949), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			49.192.844.070	58.887.995.176	41.019.997.666	63.075.321.099	57.955.542.573	60.147.262.244	72.721.944.880	50.130.130.791	64.362.224.746	44.640.020.234	98.129.708.105
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens	Galectin-8	1:Experimental evidence at protein level	29.97	10.000	0.9990	8	8	8	17	17	17	136609170	136609170	136609170	10K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 4C(57.0214), 7C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			10.681.831.108	14.149.598.325	8.742.094.250	14.345.283.164	11.356.381.572	15.044.386.270	12.799.348.721	12.389.755.308	16.222.269.385	9.383.861.758	16.764.172.275
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1:Experimental evidence at protein level	46.67	10.000	0.9990	9	9	9	23	23	23	161261028	161261028	161261028	11K(229.1629), 12K(229.1629), 22K(229.1629), 2C(57.0214), 4M(15.9949), 6C(57.0214), 7K(229.1629), N-term(229.1692)			5.821.757.959	8.226.334.160	5.654.031.802	9.639.203.223	8.728.161.660	8.691.051.240	9.910.504.727	8.881.817.490	7.631.533.242	6.127.748.164	11.314.392.305
sp|O00221|IKBE_HUMAN	O00221	IKBE_HUMAN	NFKBIE	500	Homo sapiens	NF-kappa-B inhibitor epsilon	1:Experimental evidence at protein level	20.60	10.000	0.9990	8	8	8	13	13	13	36662814	36662814	36662814	10C(57.0214), 11K(229.1629), 1C(57.0214), 24K(229.1629), 5C(57.0214), N-term(229.1692)			2.910.284.045	3.053.502.808	2.178.860.388	2.954.565.693	2.820.432.520	2.742.848.711	3.705.353.667	2.566.752.988	3.570.077.671	2.185.530.210	4.244.806.816
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	26S proteasome non-ATPase regulatory subunit 11	1:Experimental evidence at protein level	60.66	10.000	0.9990	24	24	24	65	65	65	1016474064	1016474064	1016474064	11K(229.1629), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 18K(229.1629), 1C(57.0214), 2M(15.9949), 4M(15.9949), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			43.816.158.521	45.189.945.297	42.797.813.970	57.665.059.116	56.913.331.604	54.938.964.592	63.389.368.269	59.294.917.406	47.778.837.561	59.824.055.953	77.072.054.971
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens	26S proteasome non-ATPase regulatory subunit 12	1:Experimental evidence at protein level	43.64	10.000	0.9990	19	19	19	57	57	57	403731432	403731432	403731432	10K(229.1629), 10M(15.9949), 11K(229.1629), 12K(229.1629), 14K(229.1629), 17M(15.9949), 18K(229.1629), 19K(229.1629), 1K(229.1629), 20K(229.1629), 3M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1692), N-term(42.0106)			19.263.349.829	24.753.985.786	19.733.251.110	24.918.962.714	29.577.074.336	25.178.889.316	31.352.819.487	25.547.830.547	23.663.405.875	22.630.876.315	34.992.932.280
